Pos,2024,Title,Director,Year,Country,Mins,Seen
386,388,"Elephant Man, The","Lynch, David",1980,USA,125,X
424,420,Salvatore Giuliano,"Rosi, Francesco",1962,Italy,125,
491,486,Raise the Red Lantern,Zhang Yimou,1991,China,125,
626,630,3 Women,"Altman, Robert",1977,USA,125,
797,784,Blissfully Yours,"Weerasethakul, Apichatpong",2002,Thailand,125,
91,92,Jaws,"Spielberg, Steven",1975,USA,124,X
136,132,Imitation of Life,"Sirk, Douglas",1959,USA,124,
137,137,Spirited Away,"Miyazaki, Hayao",2001,Japan,124,X
273,266,"Treasure of the Sierra Madre, The","Huston, John",1948,USA,124,X
326,333,"Empire Strikes Back, The","Kershner, Irvin",1980,USA,124,X
329,326,"Young Girls of Rochefort, The","Demy, Jacques",1967,France,124,X
331,325,"Canterbury Tale, A","Powell, Michael & Emeric Pressburger",1944,UK,124,X
417,406,Splendor in the Grass,"Kazan, Elia",1961,USA,124,
430,427,Possession,"Zulawski, Andrzej",1981,France,124,
494,491,"Bitter Tears of Petra von Kant, The","Fassbinder, Rainer Werner",1972,West Germany,124,
614,623,"Synecdoche, New York","Kaufman, Charlie",2008,USA,124,
664,662,Akira,"Otomo, Katsuhiro",1988,Japan,124,X
790,781,"Cook, the Thief, His Wife & Her Lover, The","Greenaway, Peter",1989,UK,124,
871,864,We All Loved Each Other So Much,"Scola, Ettore",1974,Italy,124,
884,878,"Misfits, The","Huston, John",1961,USA,124,X
997,991,Ed Wood,"Burton, Tim",1994,USA,124,X
301,314,All That Jazz,"Fosse, Bob",1979,USA,123,
304,299,Floating Clouds,"Naruse, Mikio",1955,Japan,123,X
317,311,"Separation, A","Farhadi, Asghar",2011,Iran,123,X
318,309,Monsieur Verdoux,"Chaplin, Charles",1947,USA,123,X
489,476,Senso,"Visconti, Luchino",1954,Italy,123,
662,650,Xala,"Sembene, Ousmane",1975,Senegal,123,
704,732,Fish Tank,"Arnold, Andrea",2009,UK,123,
854,934,Mon oncle d'Amérique,"Resnais, Alain",1980,France,123,
866,849,My Little Loves,"Eustache, Jean",1974,France,123,
980,953,Fox and His Friends,"Fassbinder, Rainer Werner",1975,West Germany,123,
270,270,"Exorcist, The","Friedkin, William",1973,USA,122,X
498,523,No Country for Old Men,"Coen, Joel & Ethan Coen",2007,USA,122,X
594,610,Amélie,"Jeunet, Jean-Pierre",2001,France,122,X
638,636,Pat Garrett and Billy the Kid,"Peckinpah, Sam",1973,USA,122,X
717,707,"Place in the Sun, A","Stevens, George",1951,USA,122,X
748,737,"Emperor's Naked Army Marches On, The","Hara, Kazuo",1987,Japan,122,
754,755,"Streetcar Named Desire, A","Kazan, Elia",1951,USA,122,X
849,856,Point Break,"Bigelow, Kathryn",1991,USA,122,X
924,923,Cemetery of Splendour,"Weerasethakul, Apichatpong",2015,Thailand,122,
31,32,Some Like it Hot,"Wilder, Billy",1959,USA,121,X
59,58,"Battle of Algiers, The","Pontecorvo, Gillo",1966,Italy,121,X
115,114,"Piano, The","Campion, Jane",1993,New Zealand,121,
152,158,Star Wars,"Lucas, George",1977,USA,121,X
171,176,Only Angels Have Wings,"Hawks, Howard",1939,USA,121,X
182,181,Portrait of a Lady on Fire,"Sciamma, Céline",2019,France,121,
237,235,McCabe & Mrs. Miller,"Altman, Robert",1971,USA,121,X
442,469,Network,"Lumet, Sidney",1976,USA,121,X
564,554,Dead Man,"Jarmusch, Jim",1995,USA,121,X
873,874,Gloria,"Cassavetes, John",1980,USA,121,
956,947,American Beauty,"Mendes, Sam",1999,USA,121,X
71,71,Do the Right Thing,"Lee, Spike",1989,USA,120,X
90,87,Blue Velvet,"Lynch, David",1986,USA,120,X
189,188,"Notte, La","Antonioni, Michelangelo",1961,Italy,120,
197,195,Paisan,"Rossellini, Roberto",1946,Italy,120,X
255,257,Diary of a Country Priest,"Bresson, Robert",1951,France,120,
294,290,India Song,"Duras, Marguerite",1975,France,120,
350,357,Mad Max: Fury Road,"Miller, George",2015,Australia,120,X
389,393,Nostalghia,"Tarkovsky, Andrei",1983,Italy,120,
399,413,Day for Night,"Truffaut, François",1973,France,120,
418,417,Fantasia,Various Directors,1940,USA,120,X
438,441,Accattone,"Pasolini, Pier Paolo",1961,Italy,120,
467,516,Pan's Labyrinth,"del Toro, Guillermo",2006,Spain,120,X
516,508,Oldboy,Park Chan-wook,2003,South Korea,120,X
577,572,"Testament of Dr. Mabuse, The","Lang, Fritz",1933,Germany,120,X
600,601,"Crouching Tiger, Hidden Dragon","Lee, Ang",2000,Taiwan,120,X
660,665,"Marriage of Maria Braun, The","Fassbinder, Rainer Werner",1979,West Germany,120,
752,745,"Social Network, The","Fincher, David",2010,USA,120,X
918,909,Ceddo,"Sembene, Ousmane",1977,Senegal,120,
1,1,Citizen Kane,"Welles, Orson",1941,USA,119,X
9,9,"Searchers, The","Ford, John",1956,USA,119,X
83,91,"Man Who Shot Liberty Valance, The","Ford, John",1962,USA,119,X
166,164,"Passenger, The","Antonioni, Michelangelo",1975,Italy,119,
179,180,"Birds, The","Hitchcock, Alfred",1963,USA,119,X
384,386,Safe,"Haynes, Todd",1995,USA,119,
431,451,Twenty Years Later,"Coutinho, Eduardo",1984,Brazil,119,
648,641,Rocky,"Avildsen, John G.",1976,USA,119,X
667,658,Millennium Mambo,Hou Hsiao-hsien,2001,Taiwan,119,
779,766,"Trial, The","Welles, Orson",1962,France,119,
803,782,Taipei Story,"Yang, Edward",1985,Taiwan,119,
890,882,Akira Kurosawa's Dreams,"Kurosawa, Akira",1990,Japan,119,X
932,933,7th Heaven,"Borzage, Frank",1927,USA,119,
965,958,Léon,"Besson, Luc",1994,France,119,X
986,988,"Host, The",Bong Joon-ho,2006,South Korea,119,X
39,41,Blade Runner,"Scott, Ridley",1982,USA,118,X
164,162,Tropical Malady,"Weerasethakul, Apichatpong",2004,Thailand,118,
236,234,Red Desert,"Antonioni, Michelangelo",1964,Italy,118,
357,351,"Last Picture Show, The","Bogdanovich, Peter",1971,USA,118,X
358,358,How Green Was My Valley,"Ford, John",1941,USA,118,X
369,375,"Silence of the Lambs, The","Demme, Jonathan",1991,USA,118,X
503,495,Shane,"Stevens, George",1953,USA,118,X
508,494,After Life,"Koreeda, Hirokazu",1998,Japan,118,
538,550,"Wind Will Carry Us, The","Kiarostami, Abbas",1999,France,118,
716,714,Carol,"Haynes, Todd",2015,UK,118,X
738,739,"Bad and the Beautiful, The","Minnelli, Vincente",1952,USA,118,X
773,759,Vive L'Amour,Tsai Ming-liang,1994,Taiwan,118,
778,763,Great Expectations,"Lean, David",1946,UK,118,X
802,783,Code Unknown,"Haneke, Michael",2000,France,118,
917,949,Tabu,"Gomes, Miguel",2012,Portugal,118,
926,932,Roman Holiday,"Wyler, William",1953,USA,118,X
61,60,"Grande illusion, La","Renoir, Jean",1937,France,117,X
128,131,Alien,"Scott, Ridley",1979,USA,117,X
201,196,"Salò, or the 120 Days of Sodom","Pasolini, Pier Paolo",1975,Italy,117,
245,247,Caché,"Haneke, Michael",2005,France,117,X
309,306,Charulata,"Ray, Satyajit",1964,India,117,
587,580,Barton Fink,"Coen, Joel & Ethan Coen",1991,USA,117,X
750,802,"Idiots, The","von Trier, Lars",1998,Denmark,117,
781,768,Foolish Wives,"von Stroheim, Erich",1922,USA,117,
94,94,Gertrud,"Dreyer, Carl Theodor",1964,Denmark,116,
279,292,Back to the Future,"Zemeckis, Robert",1985,USA,116,X
328,317,Lola Montès,"Ophüls, Max",1955,France,116,
532,529,Faust,"Murnau, F.W.",1926,Germany,116,X
601,592,Tootsie,"Pollack, Sydney",1982,USA,116,X
612,609,Full Metal Jacket,"Kubrick, Stanley",1987,USA,116,X
937,926,Seven Beauties,"Wertmüller, Lina",1975,Italy,116,
74,73,"Strada, La","Fellini, Federico",1954,Italy,115,X
132,136,E.T. The Extra-Terrestrial,"Spielberg, Steven",1982,USA,115,X
186,186,Chimes at Midnight,"Welles, Orson",1965,Switzerland,115,
