Pos	2019	2018	Title	Director	Year	Country	Length	Genre	Colour	Seen
4	4	0	Tokyo Story	Ozu, Yasujiro	1953	Japan	134	null	null	true
376	377	0	Lost Highway	Lynch, David	1997	USA	134	null	null	true
496	521	0	Hustler, The	Rossen, Robert	1961	USA	134	null	null	true
497	509	0	Twin Peaks: Fire Walk with Me	Lynch, David	1992	USA	134	null	null	true
510	522	0	Princess Mononoke	Miyazaki, Hayao	1997	Japan	134	null	null	true
569	566	0	Brokeback Mountain	Lee, Ang	2005	USA	134	null	null	true
121	120	0	Red Shoes, The	Powell, Michael & Emeric Pressburger	1948	UK	133	null	null	true
147	145	0	One Flew Over the Cuckoo's Nest	Forman, Milos	1975	USA	133	null	null	true
265	258	0	Red River	Hawks, Howard	1948	USA	133	null	null	true
289	283	0	Pandora's Box	Pabst, G.W.	1929	Germany	133	null	null	true
364	365	0	Quince Tree Sun, The	Erice, Victor	1992	Spain	133	null	null	false
522	530	0	Age of Innocence, The	Scorsese, Martin	1993	USA	133	null	null	true
639	629	0	Harakiri	Kobayashi, Masaki	1962	Japan	133	null	null	true
804	804	0	All Quiet on the Western Front	Milestone, Lewis	1930	USA	133	null	null	false
815	809	0	Broadcast News	Brooks, James L.	1987	USA	133	null	null	true
235	242	0	Parasite	Bong Joon-ho	2019	South Korea	132	null	null	true
535	539	0	Memories of Murder	Bong Joon-ho	2003	South Korea	132	null	null	false
70	70	0	Chinatown	Polanski, Roman	1974	USA	131	null	null	true
225	225	0	Brazil	Gilliam, Terry	1985	UK	131	null	null	true
518	524	0	Die Hard	McTiernan, John	1988	USA	131	null	null	true
939	982	0	Trou, Le	Becker, Jacques	1960	France	131	null	null	false
209	210	0	Death in Venice	Visconti, Luchino	1971	Italy	130	null	null	true
213	213	0	Wings of Desire	Wenders, Wim	1987	West Germany	130	null	null	true
312	308	0	Faces	Cassavetes, John	1968	USA	130	null	null	true
367	370	0	Marnie	Hitchcock, Alfred	1964	USA	130	null	null	true
443	434	0	Flowers of Shanghai	Hou Hsiao-hsien	1998	Taiwan	130	null	null	false
476	455	0	Phantom Thread	Anderson, Paul Thomas	2017	USA	130	null	null	true
572	582	0	Being There	Ashby, Hal	1979	USA	130	null	null	true
636	644	0	Rebecca	Hitchcock, Alfred	1940	USA	130	null	null	true
671	703	0	Piano Teacher, The	Haneke, Michael	2001	Austria	130	null	null	false
685	673	0	Intruder, The	Denis, Claire	2004	France	130	null	null	false
960	0	0	Hurt Locker, The	Bigelow, Kathryn	2008	USA	130	null	null	true
972	954	0	Duel in the Sun	Vidor, King	1946	USA	130	null	null	false
989	992	0	Arabian Nights	Pasolini, Pier Paolo	1974	Italy	130	null	null	false
35	35	0	Raging Bull	Scorsese, Martin	1980	USA	129	null	null	true
82	81	0	It's a Wonderful Life	Capra, Frank	1946	USA	129	null	null	true
221	227	0	Quiet Man, The	Ford, John	1952	USA	129	null	null	true
223	221	0	Grapes of Wrath, The	Ford, John	1940	USA	129	null	null	true
313	315	0	City of God	Meirelles, Fernando & Kátia Lund	2002	Brazil	129	null	null	true
363	360	0	Last Tango in Paris	Bertolucci, Bernardo	1972	Italy	129	null	null	false
398	394	0	In a Year with 13 Moons	Fassbinder, Rainer Werner	1978	West Germany	129	null	null	false
504	507	0	To Kill a Mockingbird	Mulligan, Robert	1962	USA	129	null	null	true
570	557	0	Fellini Satyricon	Fellini, Federico	1969	Italy	129	null	null	false
692	679	0	Mr. Smith Goes to Washington	Capra, Frank	1939	USA	129	null	null	true
769	777	0	Man Who Would Be King, The	Huston, John	1975	UK	129	null	null	true
856	861	0	Starship Troopers	Verhoeven, Paul	1997	USA	129	null	null	true
888	898	0	Who's Afraid of Virginia Woolf?	Nichols, Mike	1966	USA	129	null	null	true
2	2	0	Vertigo	Hitchcock, Alfred	1958	USA	128	null	null	true
210	214	0	Great Dictator, The	Chaplin, Charles	1940	USA	128	null	null	true
298	319	0	Cabaret	Fosse, Bob	1972	USA	128	null	null	true
613	600	0	Fellini's Roma	Fellini, Federico	1972	Italy	128	null	null	false
703	716	0	Thelma & Louise	Scott, Ridley	1991	USA	128	null	null	true
897	894	0	Showgirls	Verhoeven, Paul	1995	USA	128	null	null	false
77	77	0	Amarcord	Fellini, Federico	1973	Italy	127	null	null	true
300	302	0	Unforgiven	Eastwood, Clint	1992	USA	127	null	null	true
480	479	0	Landscape in the Mist	Angelopoulos, Theo	1988	Greece	127	null	null	false
554	558	0	Se7en	Fincher, David	1995	USA	127	null	null	true
597	595	0	Jurassic Park	Spielberg, Steven	1993	USA	127	null	null	true
670	660	0	Amour	Haneke, Michael	2012	Austria	127	null	null	false
682	685	0	Wild at Heart	Lynch, David	1990	USA	127	null	null	true
721	717	0	Moulin Rouge!	Luhrmann, Baz	2001	Australia	127	null	null	true
761	790	0	Fort Apache	Ford, John	1948	USA	127	null	null	true
966	975	0	Z	Costa-Gavras, Constantin	1969	France	127	null	null	false
124	126	0	Eclisse, L'	Antonioni, Michelangelo	1962	Italy	126	null	null	false
349	349	0	Cloud-Capped Star, The	Ghatak, Ritwik	1960	India	126	null	null	true
393	389	0	Mon oncle	Tati, Jacques	1958	France	126	null	null	false
408	407	0	Tenant, The	Polanski, Roman	1976	France	126	null	null	true
414	408	0	Dawn of the Dead	Romero, George A.	1978	USA	126	null	null	true
445	458	0	Naked	Leigh, Mike	1993	UK	126	null	null	true
621	612	0	Amants du Pont-Neuf, Les	Carax, Leos	1991	France	126	null	null	false
658	670	0	Manchurian Candidate, The	Frankenheimer, John	1962	USA	126	null	null	true
762	746	0	Subarnarekha	Ghatak, Ritwik	1965	India	126	null	null	false
961	0	0	Cool Hand Luke	Rosenberg, Stuart	1967	USA	126	null	null	true
32	33	0	Ordet	Dreyer, Carl Theodor	1955	Denmark	125	null	null	true
53	59	0	Apartment, The	Wilder, Billy	1960	USA	125	null	null	true
85	84	0	Sansho the Bailiff	Mizoguchi, Kenji	1954	Japan	125	null	null	true
351	353	0	Dog Day Afternoon	Lumet, Sidney	1975	USA	125	null	null	true
386	388	0	Elephant Man, The	Lynch, David	1980	USA	125	null	null	true
424	420	0	Salvatore Giuliano	Rosi, Francesco	1962	Italy	125	null	null	false
491	486	0	Raise the Red Lantern	Zhang Yimou	1991	China	125	null	null	false
626	630	0	3 Women	Altman, Robert	1977	USA	125	null	null	false
797	784	0	Blissfully Yours	Weerasethakul, Apichatpong	2002	Thailand	125	null	null	false
91	92	0	Jaws	Spielberg, Steven	1975	USA	124	null	null	true
136	132	0	Imitation of Life	Sirk, Douglas	1959	USA	124	null	null	false
137	137	0	Spirited Away	Miyazaki, Hayao	2001	Japan	124	null	null	true
273	266	0	Treasure of the Sierra Madre, The	Huston, John	1948	USA	124	null	null	true
326	333	0	Empire Strikes Back, The	Kershner, Irvin	1980	USA	124	null	null	true
329	326	0	Young Girls of Rochefort, The	Demy, Jacques	1967	France	124	null	null	true
331	325	0	Canterbury Tale, A	Powell, Michael & Emeric Pressburger	1944	UK	124	null	null	true
417	406	0	Splendor in the Grass	Kazan, Elia	1961	USA	124	null	null	false
430	427	0	Possession	Zulawski, Andrzej	1981	France	124	null	null	false
494	491	0	Bitter Tears of Petra von Kant, The	Fassbinder, Rainer Werner	1972	West Germany	124	null	null	false
614	623	0	Synecdoche, New York	Kaufman, Charlie	2008	USA	124	null	null	false
664	662	0	Akira	Otomo, Katsuhiro	1988	Japan	124	null	null	true
790	781	0	Cook, the Thief, His Wife & Her Lover, The	Greenaway, Peter	1989	UK	124	null	null	false
871	864	0	We All Loved Each Other So Much	Scola, Ettore	1974	Italy	124	null	null	false
884	878	0	Misfits, The	Huston, John	1961	USA	124	null	null	true
997	991	0	Ed Wood	Burton, Tim	1994	USA	124	null	null	true
301	314	0	All That Jazz	Fosse, Bob	1979	USA	123	null	null	false
304	299	0	Floating Clouds	Naruse, Mikio	1955	Japan	123	null	null	true
317	311	0	Separation, A	Farhadi, Asghar	2011	Iran	123	null	null	true
318	309	0	Monsieur Verdoux	Chaplin, Charles	1947	USA	123	null	null	true
489	476	0	Senso	Visconti, Luchino	1954	Italy	123	null	null	false
662	650	0	Xala	Sembene, Ousmane	1975	Senegal	123	null	null	false
704	732	0	Fish Tank	Arnold, Andrea	2009	UK	123	null	null	false
854	934	0	Mon oncle d'Amérique	Resnais, Alain	1980	France	123	null	null	false
866	849	0	My Little Loves	Eustache, Jean	1974	France	123	null	null	false
980	953	0	Fox and His Friends	Fassbinder, Rainer Werner	1975	West Germany	123	null	null	false
270	270	0	Exorcist, The	Friedkin, William	1973	USA	122	null	null	true
498	523	0	No Country for Old Men	Coen, Joel & Ethan Coen	2007	USA	122	null	null	true
594	610	0	Amélie	Jeunet, Jean-Pierre	2001	France	122	null	null	true
638	636	0	Pat Garrett and Billy the Kid	Peckinpah, Sam	1973	USA	122	null	null	true
717	707	0	Place in the Sun, A	Stevens, George	1951	USA	122	null	null	true
748	737	0	Emperor's Naked Army Marches On, The	Hara, Kazuo	1987	Japan	122	null	null	false
754	755	0	Streetcar Named Desire, A	Kazan, Elia	1951	USA	122	null	null	true
849	856	0	Point Break	Bigelow, Kathryn	1991	USA	122	null	null	true
924	923	0	Cemetery of Splendour	Weerasethakul, Apichatpong	2015	Thailand	122	null	null	false
31	32	0	Some Like it Hot	Wilder, Billy	1959	USA	121	null	null	true
59	58	0	Battle of Algiers, The	Pontecorvo, Gillo	1966	Italy	121	null	null	true
115	114	0	Piano, The	Campion, Jane	1993	New Zealand	121	null	null	false
152	158	0	Star Wars	Lucas, George	1977	USA	121	null	null	true
171	176	0	Only Angels Have Wings	Hawks, Howard	1939	USA	121	null	null	true
182	181	0	Portrait of a Lady on Fire	Sciamma, Céline	2019	France	121	null	null	false
237	235	0	McCabe & Mrs. Miller	Altman, Robert	1971	USA	121	null	null	true
442	469	0	Network	Lumet, Sidney	1976	USA	121	null	null	true
564	554	0	Dead Man	Jarmusch, Jim	1995	USA	121	null	null	true
873	874	0	Gloria	Cassavetes, John	1980	USA	121	null	null	false
956	947	0	American Beauty	Mendes, Sam	1999	USA	121	null	null	true
71	71	0	Do the Right Thing	Lee, Spike	1989	USA	120	null	null	true
90	87	0	Blue Velvet	Lynch, David	1986	USA	120	null	null	true
189	188	0	Notte, La	Antonioni, Michelangelo	1961	Italy	120	null	null	false
197	195	0	Paisan	Rossellini, Roberto	1946	Italy	120	null	null	true
255	257	0	Diary of a Country Priest	Bresson, Robert	1951	France	120	null	null	false
294	290	0	India Song	Duras, Marguerite	1975	France	120	null	null	false
350	357	0	Mad Max: Fury Road	Miller, George	2015	Australia	120	null	null	true
389	393	0	Nostalghia	Tarkovsky, Andrei	1983	Italy	120	null	null	false
399	413	0	Day for Night	Truffaut, François	1973	France	120	null	null	false
418	417	0	Fantasia	Various Directors	1940	USA	120	null	null	true
